id;name;codes;coord;administrative_regions
stop_area:OCE:SA:87110288;;[{'type': 'CR-CI-CH', 'value': '0087-110288-00'}, {'type': 'UIC8', 'value': '87110288'}, {'type': 'external_code', 'value': 'OCE87110288'}];{'lat': '47.34836', 'lon': '0.660652'};[{'insee': '37122', 'name': 'Joué-lès-Tours', 'level': 8, 'coord': {'lat': '47.3510905', 'lon': '0.6622524'}, 'label': 'Joué-lès-Tours (37300)', 'id': 'admin:fr:37122', 'zip_code': '37300'}]
stop_area:OCE:SA:87279166;;[{'type': 'CR-CI-CH', 'value': '0087-279166-00'}, {'type': 'UIC8', 'value': '87279166'}, {'type': 'external_code', 'value': 'OCE87279166'}];{'lat': '46.834999', 'lon': '1.565542'};[{'insee': '36142', 'name': 'Niherne', 'level': 8, 'coord': {'lat': '46.8288841', 'lon': '1.5640575'}, 'label': 'Niherne (36250)', 'id': 'admin:fr:36142', 'zip_code': '36250'}]
stop_area:OCE:SA:87286740;;[{'type': 'CR-CI-CH', 'value': '0087-286740-00'}, {'type': 'UIC8', 'value': '87286740'}, {'type': 'external_code', 'value': 'OCE87286740'}];{'lat': '50.611568', 'lon': '3.189764'};[{'insee': '59602', 'name': 'Tressin', 'level': 8, 'coord': {'lat': '50.6167936', 'lon': '3.1927064'}, 'label': 'Tressin (59152)', 'id': 'admin:fr:59602', 'zip_code': '59152'}]
stop_area:OCE:SA:87286781;;[{'type': 'CR-CI-CH', 'value': '0087-286781-00'}, {'type': 'UIC8', 'value': '87286781'}, {'type': 'external_code', 'value': 'OCE87286781'}];{'lat': '50.560597', 'lon': '3.211275'};[{'insee': '59168', 'name': 'Cysoing', 'level': 8, 'coord': {'lat': '50.5647', 'lon': '3.20942'}, 'label': 'Cysoing (59830)', 'id': 'admin:fr:59168', 'zip_code': '59830'}]
stop_area:OCE:SA:87286807;;[{'type': 'CR-CI-CH', 'value': '0087-286807-00'}, {'type': 'UIC8', 'value': '87286807'}, {'type': 'external_code', 'value': 'OCE87286807'}];{'lat': '50.528445', 'lon': '3.220961'};[{'insee': '59258', 'name': 'Genech', 'level': 8, 'coord': {'lat': '50.5305709', 'lon': '3.2141332'}, 'label': 'Genech (59242)', 'id': 'admin:fr:59258', 'zip_code': '59242'}]
stop_area:OCE:SA:87287219;;[{'type': 'CR-CI-CH', 'value': '0087-287219-00'}, {'type': 'UIC8', 'value': '87287219'}, {'type': 'external_code', 'value': 'OCE87287219'}];{'lat': '50.603891', 'lon': '3.193467'};[{'insee': '59013', 'name': 'Anstaing', 'level': 8, 'coord': {'lat': '50.6043089', 'lon': '3.1889645'}, 'label': 'Anstaing (59152)', 'id': 'admin:fr:59013', 'zip_code': '59152'}]
stop_area:OCE:SA:87287235;;[{'type': 'CR-CI-CH', 'value': '0087-287235-00'}, {'type': 'UIC8', 'value': '87287235'}, {'type': 'external_code', 'value': 'OCE87287235'}];{'lat': '50.573148', 'lon': '3.20231'};[{'insee': '59168', 'name': 'Cysoing', 'level': 8, 'coord': {'lat': '50.5647', 'lon': '3.20942'}, 'label': 'Cysoing (59830)', 'id': 'admin:fr:59168', 'zip_code': '59830'}]
stop_area:OCE:SA:87287243;;[{'type': 'CR-CI-CH', 'value': '0087-287243-00'}, {'type': 'UIC8', 'value': '87287243'}, {'type': 'external_code', 'value': 'OCE87287243'}];{'lat': '50.538127', 'lon': '3.219541'};[{'insee': '59258', 'name': 'Genech', 'level': 8, 'coord': {'lat': '50.5305709', 'lon': '3.2141332'}, 'label': 'Genech (59242)', 'id': 'admin:fr:59258', 'zip_code': '59242'}]
stop_area:OCE:SA:87644112;;[{'type': 'CR-CI-CH', 'value': '0087-644112-HR'}, {'type': 'UIC8', 'value': '87644112'}, {'type': 'external_code', 'value': 'OCE87644112'}];{'lat': '47.219605', 'lon': '0.8811870000000001'};[{'insee': '37085', 'name': 'Courçay', 'level': 8, 'coord': {'lat': '47.2508873', 'lon': '0.8760917'}, 'label': 'Courçay (37310)', 'id': 'admin:fr:37085', 'zip_code': '37310'}]
stop_area:OCE:SA:87689737;;[{'type': 'CR-CI-CH', 'value': '0087-689737-HR'}, {'type': 'UIC8', 'value': '87689737'}, {'type': 'external_code', 'value': 'OCE87689737'}];{'lat': '47.394142', 'lon': '0.671523'};"[{'insee': '37261', 'name': 'Tours', 'level': 8, 'coord': {'lat': '47.3900474', 'lon': '0.6889268'}, 'label': 'Tours (37000-37200)', 'id': 'admin:fr:37261', 'zip_code': '37000;37200'}]"
stop_area:OCE:SA:87699298;;[{'type': 'CR-CI-CH', 'value': '0087-699298-HR'}, {'type': 'UIC8', 'value': '87699298'}, {'type': 'external_code', 'value': 'OCE87699298'}];{'lat': '0', 'lon': '0'};[{'insee': '', 'name': 'Aachen', 'level': 8, 'coord': {'lat': '50.776351', 'lon': '6.083862'}, 'label': 'Aachen', 'id': 'admin:osm:relation:62564', 'zip_code': ''}]
stop_area:OCE:SA:80153452;Aachen/Aix la Chapelle;[{'type': 'CR-CI-CH', 'value': '0080-153452-BV'}, {'type': 'UIC8', 'value': '80153452'}, {'type': 'external_code', 'value': 'OCE80153452'}];{'lat': '50.767759', 'lon': '6.091215'};[{'insee': '60001', 'name': 'Abancourt', 'level': 8, 'coord': {'lat': '49.6977145', 'lon': '1.7646826'}, 'label': 'Abancourt (60220)', 'id': 'admin:fr:60001', 'zip_code': '60220'}]
stop_area:OCE:SA:87313759;Abancourt;[{'type': 'CR-CI-CH', 'value': '0087-313759-00'}, {'type': 'UIC8', 'value': '87313759'}, {'type': 'external_code', 'value': 'OCE87313759'}];{'lat': '49.685665', 'lon': '1.77418'};[{'insee': '44001', 'name': 'Abbaretz', 'level': 8, 'coord': {'lat': '47.5525545', 'lon': '-1.5322775'}, 'label': 'Abbaretz (44170)', 'id': 'admin:fr:44001', 'zip_code': '44170'}]
stop_area:OCE:SA:87481614;Abbaretz;[{'type': 'CR-CI-CH', 'value': '0087-481614-00'}, {'type': 'UIC8', 'value': '87481614'}, {'type': 'external_code', 'value': 'OCE87481614'}];{'lat': '47.55523', 'lon': '-1.524196'};[{'insee': '80001', 'name': 'Abbeville', 'level': 8, 'coord': {'lat': '50.1060835', 'lon': '1.8337029'}, 'label': 'Abbeville (80100)', 'id': 'admin:fr:80001', 'zip_code': '80100'}]
stop_area:OCE:SA:87317362;Abbeville;[{'type': 'CR-CI-CH', 'value': '0087-317362-00'}, {'type': 'UIC8', 'value': '87317362'}, {'type': 'external_code', 'value': 'OCE87317362'}];{'lat': '50.102194', 'lon': '1.824486'};[{'insee': '94001', 'name': 'Ablon-sur-Seine', 'level': 8, 'coord': {'lat': '48.7247582', 'lon': '2.421509'}, 'label': 'Ablon-sur-Seine (94480)', 'id': 'admin:fr:94001', 'zip_code': '94480'}]
stop_area:OCE:SA:87545269;Ablon;[{'type': 'CR-CI-CH', 'value': '0087-545269-00'}, {'type': 'UIC8', 'value': '87545269'}, {'type': 'external_code', 'value': 'OCE87545269'}];{'lat': '48.725377', 'lon': '2.419245'};[{'insee': '57001', 'name': 'Aboncourt', 'level': 8, 'coord': {'lat': '49.2602817', 'lon': '6.3463759'}, 'label': 'Aboncourt (57920)', 'id': 'admin:fr:57001', 'zip_code': '57920'}]
stop_area:OCE:SA:87191403;Aboncourt;[{'type': 'CR-CI-CH', 'value': '0087-191403-00'}, {'type': 'UIC8', 'value': '87191403'}, {'type': 'external_code', 'value': 'OCE87191403'}];{'lat': '49.261034', 'lon': '6.346529'};[{'insee': '3001', 'name': 'Abrest', 'level': 8, 'coord': {'lat': '46.0980139', 'lon': '3.4450434'}, 'label': 'Abrest (03200)', 'id': 'admin:fr:3001', 'zip_code': '03200'}]
stop_area:OCE:SA:87721944;Abrest Mairie;[{'type': 'CR-CI-CH', 'value': '0087-721944-HR'}, {'type': 'UIC8', 'value': '87721944'}, {'type': 'external_code', 'value': 'OCE87721944'}];{'lat': '46.098866', 'lon': '3.444789'};[{'insee': '89130', 'name': 'Deux Rivières', 'level': 8, 'coord': {'lat': '47.6839847', 'lon': '3.6898895'}, 'label': 'Deux Rivières', 'id': 'admin:fr:89130', 'zip_code': ''}]
stop_area:OCE:SA:87677252;Accolay-Le-Pont;[{'type': 'CR-CI-CH', 'value': '0087-677252-HR'}, {'type': 'UIC8', 'value': '87677252'}, {'type': 'external_code', 'value': 'OCE87677252'}];{'lat': '47.659446', 'lon': '3.713922'};[{'insee': '78551', 'name': 'Saint-Germain-en-Laye', 'level': 8, 'coord': {'lat': '48.8990413', 'lon': '2.0942792'}, 'label': 'Saint-Germain-en-Laye', 'id': 'admin:fr:78551', 'zip_code': ''}]
stop_area:OCE:SA:87386052;Achères-Grand-Cormier;[{'type': 'CR-CI-CH', 'value': '0087-386052-00'}, {'type': 'UIC8', 'value': '87386052'}, {'type': 'external_code', 'value': 'OCE87386052'}];{'lat': '48.955163', 'lon': '2.09194'};[{'insee': '78005', 'name': 'Achères', 'level': 8, 'coord': {'lat': '48.9606321', 'lon': '2.0698106'}, 'label': 'Achères (78260)', 'id': 'admin:fr:78005', 'zip_code': '78260'}]
stop_area:OCE:SA:87381657;Achères-Ville;[{'type': 'CR-CI-CH', 'value': '0087-381657-BV'}, {'type': 'UIC8', 'value': '87381657'}, {'type': 'external_code', 'value': 'OCE87381657'}];{'lat': '48.969341', 'lon': '2.077786'};[{'insee': '62005', 'name': 'Achiet-le-Grand', 'level': 8, 'coord': {'lat': '50.1320114', 'lon': '2.7843609'}, 'label': 'Achiet-le-Grand (62121)', 'id': 'admin:fr:62005', 'zip_code': '62121'}]
stop_area:OCE:SA:87342048;Achiet;[{'type': 'CR-CI-CH', 'value': '0087-342048-00'}, {'type': 'UIC8', 'value': '87342048'}, {'type': 'external_code', 'value': 'OCE87342048'}];{'lat': '50.131685', 'lon': '2.78014'};[{'insee': '67002', 'name': 'Adamswiller', 'level': 8, 'coord': {'lat': '48.9052331', 'lon': '7.2036488'}, 'label': 'Adamswiller (67320)', 'id': 'admin:fr:67002', 'zip_code': '67320'}]
stop_area:OCE:SA:87658856;Adamswiller Lot. forêt.;[{'type': 'CR-CI-CH', 'value': '0087-658856-HR'}, {'type': 'UIC8', 'value': '87658856'}, {'type': 'external_code', 'value': 'OCE87658856'}];{'lat': '48.905629', 'lon': '7.208236'};[{'insee': '67002', 'name': 'Adamswiller', 'level': 8, 'coord': {'lat': '48.9052331', 'lon': '7.2036488'}, 'label': 'Adamswiller (67320)', 'id': 'admin:fr:67002', 'zip_code': '67320'}]
stop_area:OCE:SA:87658922;Adamswiller-(Mairie).;[{'type': 'CR-CI-CH', 'value': '0087-658922-HR'}, {'type': 'UIC8', 'value': '87658922'}, {'type': 'external_code', 'value': 'OCE87658922'}];{'lat': '48.903847', 'lon': '7.201171'};[{'insee': '93073', 'name': 'Tremblay-en-France', 'level': 8, 'coord': {'lat': '48.9802035', 'lon': '2.5589558'}, 'label': 'Tremblay-en-France (93290)', 'id': 'admin:fr:93073', 'zip_code': '93290'}]
stop_area:OCE:SA:87001479;Aérop-C-de-Gaulle-2-TGV;[{'type': 'CR-CI-CH', 'value': '0087-001479-BV'}, {'type': 'UIC8', 'value': '87001479'}, {'type': 'external_code', 'value': 'OCE87001479'}];{'lat': '49.003605', 'lon': '2.571026'}
